,ORTHO TARGET,PRODUCTION,T/F,Condition
0,Vacuole,vacule,0,low
1,Microtubule,microtuble,0,high
2,Quaternary,quartenary,0,high
3,Exergonic,exorgonic,0,low
4,Chemiosmotic,chemismatic,0,high
5,catalyst,catalust,0,low
6,centrioles,sentreeolies,0,high
7,isotope,isutop,0,low
8,nucleoid,nukleoit,0,high
9,oxidizer,oxudyser,0,high
10,reducer,rebucer,0,low
11,tertiary,kertiary,0,low
12,purine,burine,0,high
13,hydroxyl,hydrosyl,0,high
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
